predicted,actual
المغريية,المغربية
ش,^
.,^
النيوان,الديوان
0,^
0,^
يان,بيان
اجتاع,اجتماع
بارخ,بتاريخ
4,24
1-,I-
مشارع,مشاريع
يلها,بيانها
+,^
نَّ,رقم
22-Mar,23.23
حمد,محمد
لي,.
+,1
رم,رقم
223-272,2.23.272
رم,رقم
219.786,2.19.786
بتار,بتاريخ
أكتوير,أكتوبر
مؤقنة,مؤقتة
الحسهة.,الحسيمة
اجتاع,اجتماع
مجلس,لمجلس
المكومة.,الحكومة
مرضصوم,مرسوم
َّ,رقم
4,2.23.404
وتنظم,وتنظيم
رم,رقم
223405,2.23.405
الرفمي,الرقمي
وتنظها.,وتنظيمها
الاختبار,الاعتبار
المارة,المثارة 
مشأنها.,بشأنهما
1-,II- 
النصل,الفصل
الدستورء,"الدستور،"
مقتزحات,مقترحات
بياها,بيانها
٠‏,^
والحاسبة,والمحاسبة
٠‏,1
ل“,؛
٠‏,1
عميدكلية,عميد كلية
بالحمديقا؛_,بالمحمدية ؛ 
٠‏,1
الاجتاعية,الاجتماعية
٠‏,1
٠‏,1
حاية,حماية
الاجتاعي,الاجتماعي
٠‏,1
الاجتاعية,الاجتماعية
*,*_
#*,*_
